"732","324","324","732","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","231","291","324","324","275","361"
"275","610","732","324","342","291","361","361","302","732","361","361","342","783","361","361","361","291","361","361","302","361","324","324","291","50","324","324"
"612","732","730","612","732","222","291","291","732","273","291","291","273","361","342","291","342","342","221","342","342","342","50","361","612","361","342","276"
"291","730","342","291","326","732","276","302","291","291","302","783","361","275","291","342","783","361","342","276","50","291","291","342","282","291","221","342"
"324","270","291","361","222","361","222","273","361","243","732","302","291","490","561","302","290","243","302","302","361","275","342","341","361","215","361","561"
"323","320","243","275","291","326","326","342","273","342","273","342","783","291","275","521","521","275","282","273","612","276","341","213","326","342","561","323"
"342","340","361","342","361","612","342","326","222","302","243","243","243","342","221","612","276","783","213","221","290","344","301","275","561","341","344","302"
"302","290","612","302","612","342","273","275","612","275","215","732","275","761","344","561","275","302","344","561","273","221","276","326","275","243","282","221"
"273","326","275","731","284","774","731","301","276","361","272","273","612","276","301","281","561","344","276","290","291","50","302","732","276","273","50","282"
"771","281","320","221","731","276","221","221","301","612","275","215","344","282","282","301","291","221","521","344","771","561","275","801","342","783","341","275"
