ATA,Rank,Year
324,1,1988
732,2,1988
730,3,1988
342,4,1988
275,5,1988
291,6,1988
612,7,1988
340,8,1988
320,9,1988
361,10,1988
324,1,1991
732,2,1991
291,3,1991
342,4,1991
361,5,1991
222,6,1991
612,7,1991
326,8,1991
276,9,1991
275,10,1991
324,1,1994
361,2,1994
291,3,1994
273,4,1994
302,5,1994
342,6,1994
276,7,1994
732,8,1994
326,9,1994
222,10,1994
324,1,1997
291,2,1997
732,3,1997
361,4,1997
302,5,1997
273,6,1997
243,7,1997
342,8,1997
783,9,1997
275,10,1997
324,1,2000
783,2,2000
361,3,2000
342,4,2000
291,5,2000
275,6,2000
344,7,2000
612,8,2000
273,9,2000
276,10,2000
324,1,2003
361,2,2003
342,3,2003
291,4,2003
302,5,2003
275,6,2003
561,7,2003
221,8,2003
521,9,2003
783,10,2003
324,1,2006
361,2,2006
342,3,2006
302,4,2006
221,5,2006
276,6,2006
273,7,2006
291,8,2006
290,9,2006
612,10,2006
291,1,2009
231,2,2009
324,3,2009
342,4,2009
361,5,2009
50,6,2009
275,7,2009
341,8,2009
276,9,2009
561,10,2009
275,1,2012
324,2,2012
291,3,2012
361,4,2012
342,5,2012
50,6,2012
282,7,2012
561,8,2012
341,9,2012
344,10,2012
361,1,2015
324,2,2015
276,3,2015
342,4,2015
302,5,2015
561,6,2015
323,7,2015
281,8,2015
282,9,2015
221,10,2015
